Costumer Name,Costumer CPF,Adress,Number
Enzo Fernandes,1249,32783,958513003
Sophia Castro,1754,72687,113030597
Melissa Martins,1387,28323,992389339
Lucas Rodrigues,1677,85696,137071647
Isadora Lima,2419,32939,956468830
Samuel Costa,2052,81010,344880583
Pedro Carvalho,1264,96081,413019803
Lívia Gonçalves,1672,85488,462794437
Melissa Rodrigues,2686,57386,858837105
Manuela Gonçalves,1149,56375,264243209
Rafaela Gomes,1774,58738,607938022
Laura Costa,2554,39356,678828478
Julia Mendes,1996,89744,361657491
Leonardo Silva,1757,80341,623454115
Henrique Lima,2063,95673,120416619
Amanda Lima,1881,55616,658354307
Miguel Teixeira,1943,70678,694096028
Bernardo Moreira,1532,29139,517400534
Carolina Costa,1346,21463,611070511
Thomas Turbando,1512,38884,402521476
Lucas Gomes,986,90643,101322315
Gabriel Ribeiro,1330,91980,415940987
Alice Ramos,2304,36027,207354817
Davi Lima,2322,94232,211201329
Luiza Castro,2074,47476,779174645
Manuela Torres,1765,60266,759103727
Heloísa Oliveira,1760,91018,419508916
Carolina Oliveira,1543,16635,367567220
Lucas Teixeira,2418,12538,726379253
Lívia Costa,1607,29619,495639981
Samuel Santos,2266,73100,141852308
Bernardo Rocha,2425,74451,746753297
Lara Rocha,620,75918,499599290
Maria Pereira,1927,41670,194242225
Beatriz Almeida,2178,75945,928873286
Gabriel Silva,1156,29823,761542303
Valentina Almeida,2008,88991,197398397
Yasmin Martins,2256,10755,386396844
Isadora Almeida,1537,50072,228154867
Matheus Pereira,2507,76186,620677859
Sofia Martins,1603,20737,620464355
Camila Fernandes,1096,26341,347336598
Leonardo Rodrigues,1907,23814,543573088
Samuel Cunha,1596,88099,737400976
Gustavo Castro,1316,69752,811833721
Pedro Castro,1354,13552,430569045
João Gonçalves,2515,18918,319796026
João Castro,1744,75617,927498745
Eduardo Fernandes,2150,65131,614143087
Enzo Gabriel,1513,50419,171323253
Mariana Cunha,1075,93035,674112171
Alice Alves,1703,69531,624742340
Davi Teixeira,1411,44022,679677049
Matheus Barbosa,1774,69269,640813078
Pedro Moreira,1322,21144,566358431
Lívia Faria,957,72548,661766565
Valentina Lima,1434,12831,923631040
Lucas Oliveira,1421,44842,336484901
Sophia Rodrigues,1818,66976,312115518
Gustavo Sousa,938,40224,742015160
Leonardo Santos,2717,84337,727670609
Amanda Carvalho,1889,91717,825315911
Laura Moreira,2208,80652,954365620
Felipe Pereira,914,77866,503507688
Enzo Pereira,1395,24430,610649158
Laura Mendes,2655,11835,279170159
Julia Lima,1383,20477,740713355
Gustavo Lima,1081,85240,468365775
Gustavo Almeida,1029,68819,355430735
Davi Ferreira,1296,22894,160801057
Amanda Santos,1486,62756,480112911
Miguel Martins,2027,54115,989781656
Valentina Ribeiro,1810,73208,535301805
Enzo Oliveira,2003,16448,320737238
Rafaela Teixeira,1738,31500,801802536
Rafaela Costa,1721,95050,880584730
Isadora Castro,2464,42804,447061941
Manuela Ribeiro,1518,88043,819366754
Arthur Fernandes,1849,67013,519076832
Miguel Gonçalves,1744,97196,482472371
Ana Lima,1392,98641,880416812
Isabella Santos,2352,38704,825173482
Camila Sousa,1763,66658,536096458
Gabriel Barbosa,2472,87732,982380346
Luiza Mendes,1814,62998,929903883
Luiza Alves,1465,98938,978045001
João Fernandes,2711,19080,624311807
Julia Gomes,1522,11619,318439693
Alice Fernandes,2066,39437,729155988
Camila Santos,2622,69899,936206681
Henrique Fernandes,2334,87180,317770686
Eduardo Sousa,1387,15069,788519435
Henrique Pereira,1115,83874,164946986
Melissa Oliveira,1593,47258,438811023
Mariana Rodrigues,2028,96777,761743288
Carolina Santos,2209,54026,437623188
Mariana Costa,1920,92960,700627877
Carlos Alves,1426,40748,123923949
Bernardo Santos,1577,33087,841847803
Thales,10380585355,JotaM,3199465893
